50000 1000
253 160 229
192 3 241
13 167 5
119 23 217
13 108 201
175 71 177
99 3 2
126 118 51
78 168 144
42 31 33
125 170 174
126 54 79
131 66 28
131 111 62
228 92 92
51 236 67
190 196 129
193 200 43
70 184 14
116 149 173
211 152 233
89 162 19
162 231 66
211 248 31
103 160 66
34 11 130
70 37 248
153 86 197
230 106 206
91 10 238
45 47 186
94 213 153
173 32 52
96 77 224
78 64 182
245 170 120
13 209 89
101 201 19
217 158 249
1 22 156
88 218 218
100 232 71
5 55 160
104 115 2
124 209 146
221 249 89
31 196 11
30 57 179
153 182 87
241 50 39
232 14 102
168 223 39
14 211 177
221 66 234
144 194 92
83 43 199
186 134 205
129 95 130
175 58 244
39 35 174
13 0 209
2 73 169
118 104 57
23 120 214
201 148 237
209 224 90
69 220 203
248 166 88
71 35 142
61 232 71
41 140 26
178 211 76
215 73 118
178 68 125
31 109 213
160 82 21
100 143 124
11 163 211
0 45 139
159 229 138
63 211 180
165 122 83
254 23 118
221 144 81
113 160 56
214 81 246
150 214 2
230 204 65
202 176 67
194 199 117
86 84 8
90 210 112
34 203 138
162 100 196
254 254 219
133 55 98
51 5 189
200 173 200
228 251 236
208 148 99
93 200 126
168 74 76
51 191 138
136 166 150
140 2 155
77 218 249
37 66 86
14 127 39
228 115 126
183 106 127
251 49 168
15 132 90
235 249 252
45 79 110
32 178 118
160 206 19
191 217 45
43 74 210
30 187 194
90 103 209
159 159 82
10 89 110
44 21 220
0 126 117
206 86 227
75 56 35
223 57 196
40 150 73
0 37 46
175 184 81
220 146 143
105 70 243
185 53 145
89 76 78
168 16 29
58 176 31
140 113 44
171 61 102
12 47 26
43 8 67
110 249 75
50 236 68
155 201 224
243 59 214
73 66 198
213 221 132
52 176 248
230 111 166
215 149 122
51 194 150
21 105 121
63 65 242
147 50 29
90 244 145
210 74 236
214 229 196
191 158 27
52 84 243
152 240 137
40 75 5
140 60 251
2 34 150
221 111 157
42 46 221
99 159 142
178 253 144
123 191 9
105 170 24
251 204 1
225 173 206
209 3 119
130 103 155
173 186 15
172 17 166
191 246 207
66 162 53
251 172 140
253 131 90
157 218 119
52 129 13
24 252 238
174 160 131
80 43 241
249 64 5
139 217 181
61 45 20
128 133 103
214 248 193
182 21 148
147 231 207
225 115 80
172 100 127
57 212 190
51 251 61
180 232 126
207 52 185
181 251 9
152 105 236
225 240 85
178 171 135
46 9 54
9 144 59
183 76 225
100 65 68
12 248 241
236 13 164
12 124 236
21 211 173
128 112 245
207 182 5
69 236 250
5 106 37
24 126 166
181 212 40
27 66 157
220 146 223
67 146 244
160 215 15
88 176 158
121 54 192
209 140 180
134 217 123
88 143 63
187 52 172
183 55 74
165 186 142
7 116 110
72 241 248
62 227 140
200 58 65
39 35 46
126 9 187
145 49 30
199 212 144
2 127 32
100 76 148
73 117 58
153 122 183
130 46 62
6 240 1
170 181 64
213 96 120
222 110 107
34 33 254
62 63 84
193 167 249
23 57 11
254 62 85
111 187 208
185 127 165
121 2 199
221 172 55
142 68 22
143 43 228
59 165 121
173 118 16
167 29 124
24 147 30
249 162 137
96 23 168
33 68 116
109 72 158
91 12 70
38 250 49
61 137 238
94 166 75
112 254 229
49 196 183
109 39 92
46 14 31
168 248 135
8 70 54
44 32 206
169 35 145
161 97 227
238 103 245
157 11 28
88 16 167
149 142 191
10 106 50
231 98 189
124 168 202
77 26 136
246 34 122
199 47 148
133 15 95
203 69 60
166 193 113
200 150 39
177 136 137
69 81 125
1 53 223
178 210 52
186 203 79
124 100 69
241 18 141
65 186 229
22 149 110
184 224 70
180 25 56
58 254 62
129 131 144
222 56 64
104 207 14
232 230 217
198 222 193
8 19 39
49 142 86
29 190 57
72 238 166
45 86 33
252 88 116
124 163 90
225 14 97
253 235 3
6 238 12
212 199 206
190 105 85
205 229 163
102 225 89
70 159 68
167 179 137
102 250 89
111 80 34
36 102 62
84 21 53
209 62 238
190 162 88
160 40 207
131 143 141
232 12 83
149 148 228
78 180 250
235 143 214
60 190 43
83 173 62
111 21 219
236 73 53
104 13 82
155 85 8
118 156 101
180 158 251
206 201 168
253 137 100
74 10 229
145 121 18
243 234 110
230 38 106
163 225 221
149 121 31
210 40 27
101 179 31
63 176 110
65 146 120
36 176 89
20 87 64
226 254 157
9 53 13
91 232 233
233 11 175
193 148 56
55 152 126
133 232 155
243 244 124
53 17 45
217 82 192
183 183 124
160 222 172
224 185 32
213 15 102
226 197 121
127 11 179
165 33 205
169 123 188
145 0 148
104 246 217
11 15 16
56 52 228
126 9 195
207 116 158
71 95 18
243 232 113
17 87 75
196 90 232
200 129 202
53 29 106
30 133 213
171 122 193
151 69 179
147 218 149
190 59 66
171 111 97
197 93 140
95 174 15
28 27 71
16 142 80
150 140 245
89 92 63
218 15 206
148 39 15
220 84 174
205 29 118
111 35 134
22 28 192
118 2 75
28 209 20
97 169 239
183 114 210
220 17 231
175 244 113
216 12 52
203 77 0
191 22 46
183 100 196
119 123 128
25 76 105
249 144 41
215 89 15
63 189 16
200 113 238
42 185 14
187 234 156
225 191 245
127 39 216
82 109 133
37 27 95
137 228 207
5 162 129
222 145 31
193 53 232
1 140 233
18 142 83
100 207 90
196 183 222
233 54 150
171 86 82
65 234 196
234 33 206
152 155 151
20 15 243
82 196 78
155 168 143
202 187 162
149 37 154
212 77 64
144 133 201
154 107 30
73 86 137
231 68 120
15 132 98
188 237 56
27 49 97
240 132 105
247 129 29
54 201 180
30 123 2
188 90 117
228 25 177
250 26 0
230 6 202
102 115 230
143 17 123
186 22 135
190 184 154
8 131 104
129 80 108
241 225 119
212 63 28
82 2 177
105 37 233
242 92 210
35 71 112
235 229 40
225 38 81
22 6 146
68 227 52
70 22 169
190 5 32
34 146 33
23 133 63
39 168 172
174 113 94
187 10 191
6 25 52
45 238 217
45 4 176
72 253 222
65 169 188
230 171 99
68 230 120
241 118 109
204 209 43
60 245 47
94 180 25
135 216 43
58 32 215
108 30 210
94 208 183
95 37 3
212 56 200
230 173 174
217 206 58
245 149 1
143 147 176
54 180 202
110 152 13
254 252 25
108 26 161
111 92 94
218 141 99
47 249 245
197 75 24
74 166 182
54 240 163
42 26 254
162 166 8
19 48 194
173 219 193
184 1 140
244 101 87
170 249 104
210 190 229
12 100 152
36 195 189
234 135 137
172 99 224
245 18 156
200 54 50
192 163 218
199 189 21
37 52 66
127 36 205
11 125 120
250 167 216
91 138 41
215 118 56
182 55 233
222 93 65
124 235 61
234 55 93
175 89 112
183 125 166
238 61 173
239 209 173
243 33 87
58 110 106
30 37 187
140 153 137
237 129 3
76 25 153
242 207 125
202 149 37
119 213 191
245 136 220
94 169 14
55 177 31
133 25 149
32 179 61
246 55 193
180 161 234
76 223 212
70 249 227
57 12 35
196 192 18
166 61 167
6 141 253
165 243 231
16 252 200
211 3 45
98 10 218
156 208 198
236 144 71
115 221 237
95 13 251
14 158 30
85 109 96
168 112 146
115 55 247
78 19 38
110 62 111
31 37 60
35 127 195
2 46 54
134 244 33
0 64 220
206 203 253
238 11 191
222 148 42
185 101 178
11 242 29
230 22 69
52 236 82
120 56 103
224 218 32
121 166 105
184 151 34
77 189 234
192 69 45
166 73 46
139 219 179
123 54 176
16 0 60
249 21 130
157 146 143
201 222 158
129 102 250
88 88 226
24 186 3
212 128 180
106 169 13
6 54 191
45 164 187
228 103 245
33 97 103
158 47 136
37 179 56
63 170 146
178 144 213
144 55 158
149 90 235
236 137 154
156 101 231
195 28 212
158 111 36
130 59 52
226 131 5
106 81 181
63 82 16
15 239 163
238 145 94
11 253 53
218 172 162
19 117 187
109 53 90
113 43 185
148 192 96
16 228 157
60 199 96
131 117 25
142 123 34
241 49 186
172 116 93
53 59 12
15 149 243
200 211 49
134 170 148
242 251 92
163 76 243
83 222 80
221 184 209
247 106 158
21 92 135
244 233 136
173 39 40
132 58 210
58 34 66
158 149 164
134 15 105
98 233 144
223 4 48
146 54 215
91 78 207
11 112 209
254 243 40
153 241 229
2 65 72
230 156 140
163 80 80
52 30 100
50 11 160
247 59 206
19 184 30
38 23 102
79 28 48
180 226 60
135 235 49
111 251 29
138 172 15
163 75 186
1 77 203
37 189 65
181 189 40
222 242 110
122 219 0
27 72 33
79 140 140
166 152 119
128 189 77
52 193 194
206 148 119
206 63 211
189 49 230
179 109 128
41 14 154
178 205 11
228 0 39
94 199 67
162 53 88
219 5 80
140 240 106
234 183 40
95 59 19
101 175 178
184 254 249
127 78 37
254 174 121
59 162 110
47 72 143
72 212 43
223 96 195
14 243 141
179 1 158
212 105 136
214 131 194
55 3 250
177 223 124
246 190 186
10 112 131
226 208 240
135 45 252
91 99 6
39 241 232
64 120 182
113 120 180
166 222 228
192 50 146
47 118 178
9 84 73
85 148 27
104 20 187
19 171 155
5 22 208
201 27 71
183 247 221
128 150 136
217 31 163
14 112 138
171 211 53
235 90 172
168 164 84
38 79 162
13 91 65
64 8 93
136 218 52
178 160 254
138 222 5
80 176 204
146 118 170
218 234 11
232 47 2
188 121 61
144 72 71
67 29 199
125 119 16
177 24 74
168 24 236
77 180 161
225 186 253
10 185 84
139 173 212
215 28 142
243 188 6
38 24 138
134 28 143
246 214 99
122 199 83
4 25 34
150 26 215
50 235 230
10 232 46
210 25 67
40 85 63
97 220 11
201 26 143
59 11 21
151 160 30
171 169 9
215 27 224
190 170 190
119 170 154
88 185 191
166 143 223
74 248 52
77 59 185
5 10 1
234 203 217
220 129 14
101 237 18
244 88 73
208 216 98
238 80 132
119 238 136
100 167 174
14 96 13
171 116 0
127 176 143
102 27 157
235 253 74
213 242 237
214 129 124
82 176 127
29 60 140
253 220 162
161 97 84
88 246 150
155 239 18
80 187 206
191 148 105
186 104 108
25 223 67
89 38 222
148 93 93
64 27 72
123 184 88
159 117 247
241 157 168
150 167 225
252 177 82
203 234 87
68 54 148
46 87 77
129 57 148
128 138 60
183 227 129
159 9 119
33 185 80
113 253 188
247 160 14
32 20 98
202 113 48
194 239 144
5 55 60
120 17 17
127 231 49
127 187 128
210 227 103
24 113 1
203 39 254
68 185 234
165 250 212
191 55 170
208 213 53
112 156 109
244 200 41
121 184 89
225 169 184
14 35 197
154 5 123
178 158 118
85 230 192
35 186 252
49 107 70
162 135 243
94 146 107
111 244 253
250 234 213
64 54 200
216 66 111
88 244 41
213 155 126
130 137 214
117 92 27
190 253 159
174 84 91
132 30 60
221 204 85
159 128 210
116 190 198
192 25 224
67 76 253
242 242 31
75 34 6
22 146 192
112 51 84
13 34 1
192 3 222
207 243 167
171 75 216
236 87 106
52 33 112
115 180 109
241 99 36
36 8 167
230 248 117
10 253 5
87 65 87
226 243 102
177 186 131
130 250 240
63 147 157
109 45 135
231 190 122
209 253 173
229 91 197
203 204 176
127 191 214
23 15 165
192 243 82
150 171 131
231 222 23
24 12 58
226 146 130
176 223 83
239 200 92
187 197 47
190 146 1
27 110 189
66 190 147
113 120 89
195 197 253
120 218 181
63 6 242
195 7 69
123 132 177
104 201 218
91 118 106
235 104 199
140 109 126
50 1 138
73 146 112
249 243 216
187 215 43
53 216 129
140 26 32
9 152 24
182 159 137
169 49 207
55 207 175
80 191 167
82 74 144
79 154 90
219 87 83
188 180 154
21 216 234
3 240 228
9 74 219
45 43 191
107 26 7
220 146 213
169 73 28
224 159 105
188 160 193
22 242 91
213 73 3
6 214 200
61 147 176
51 65 43
53 8 109
193 208 133
136 75 139
93 33 68
9 232 59
44 112 158
191 98 209
230 8 20
159 81 189
3 51 237
188 94 69
159 224 211
94 171 93
199 135 89
57 189 237
220 30 40
83 27 69
99 121 182
48 65 151
128 241 15
42 251 172
201 86 65
130 212 112
69 127 205
160 243 13
8 164 250
41 9 81
25 241 97
167 249 65
71 223 102
41 126 243
248 199 5
195 113 125
76 44 243
13 9 58
8 148 240
45 143 23
254 53 23
52 117 237
121 154 122
185 136 52
119 150 90
163 121 23
15 163 35
82 185 56
181 203 25
221 168 176
117 140 151
85 0 125
19 232 84
51 251 209
216 187 122
82 102 191
154 34 188
247 135 152
30 44 84
20 30 226
197 84 20
20 192 11
112 59 203
240 35 50
2 214 146
124 224 120
52 72 126
231 226 254
65 190 71
53 30 168
246 239 54
210 207 177
176 192 199
195 84 162
212 3 93
94 170 168
181 230 147
119 96 243
125 206 155
189 14 155
106 164 81
185 205 165
142 250 208
177 2 235
63 37 20
222 8 243
109 48 60
89 80 239
84 47 178
163 5 130
86 224 54
188 117 137
26 136 53
186 189 128
187 224 239
122 181 186
146 101 237
107 120 87
203 47 86
131 212 143
207 115 31
151 46 75
112 120 135
56 10 58
15 104 52
193 180 3
116 55 1
242 49 219
145 153 240
184 149 221
65 120 175
2 161 41
124 96 249
49 78 160
3 94 189
119 48 178
22 55 82
118 67 125
78 88 24
215 135 186
43 52 245
26 134 165
111 68 245
196 88 29
115 111 127
148 247 81
231 77 60
91 44 136
235 43 198
60 80 222
250 97 157
238 252 90
20 76 144
5 108 142
131 153 231
29 88 212
4 113 199
179 168 35
245 145 158
243 213 144
48 12 205
220 215 178
206 109 51
243 240 23
112 86 11
130 25 219
252 62 213
251 125 145
8 168 94
54 237 24
42 91 75
183 238 186
212 215 5
69 152 188
18 66 240
171 82 135
144 48 98
111 144 168
195 237 79
96 152 77
254 101 198
88 26 235
250 32 145
10 229 22
53 52 86
171 48 67
228 147 205
189 225 254
75 213 181
230 62 43
54 25 45
27 223 216
203 103 47
249 51 196
217 195 218
120 202 147
194 43 161
152 180 125
36 84 254
118 164 166
33 8 59
240 148 181
93 19 162
221 125 53
14 236 18
239 241 97
211 144 233
8 226 87
62 236 180
104 83 168
66 208 59
243 8 47
247 57 86
140 144 156
207 181 14
107 201 56
63 232 240
22 118 91
70 221 163
224 49 104
188 84 191
109 93 14
45 93 159
89 199 211
197 133 97
245 153 191
29 171 55
146 37 214
59 165 147
53 159 28
56 196 184
131 138 161
89 193 46
114 238 97
73 185 154
209 185 132
244 240 103
160 204 96
134 124 209
248 100 227
194 90 50
24 247 75
86 249 56
200 52 174
12 125 154
17 58 102
239 215 104
102 212 237
40 156 3
243 247 92
31 186 234
220 8 50
45 89 48
157 66 23
129 1 119
4 118 80
50 203 172
160 3 211
131 97 166
1 180 253
219 1 115
108 41 168
106 253 119
223 157 52
206 235 100
83 199 59
241 114 26
237 182 238
99 136 237
82 229 79
249 249 213
56 252 181
87 237 128
25 250 126
204 240 60
203 33 141
16 14 11
232 9 99
145 2 55
203 149 133
13 229 207
251 218 20
205 130 247
198 79 205
173 231 178
94 12 45
37 116 2
172 41 23
129 87 55
3 93 79
199 109 186
59 89 150
16 254 76
234 177 224
116 75 3
196 68 179
43 13 16
202 222 0
193 209 42
100 139 138
2 33 209
91 196 174
107 43 140
186 213 32
251 132 164
45 191 40
110 4 31
132 96 228
101 169 157
76 254 95
95 61 137
89 102 105
67 4 223
227 50 165
182 6 111
45 64 250
193 91 77
94 248 28
233 163 69
165 188 176
105 182 62
113 149 215
215 137 45
230 136 96
96 19 207
178 179 102
120 237 59
237 198 62
103 89 26
126 135 210
175 179 240
26 169 175
143 196 41
88 181 73
12 35 133
160 181 164
35 130 214
147 65 202
253 95 223
244 61 138
113 248 230
132 1 45
44 228 161
142 158 106
210 13 209
66 254 16
74 46 241
30 107 177
61 187 77
15 19 109
237 126 188
42 86 206
143 164 38
155 23 150
107 144 123
94 21 136
224 112 204
174 67 217
46 49 40
67 197 157
100 168 154
73 195 92
74 45 120
1 7 19
13 131 227
253 43 4
136 120 252
144 55 223
237 128 146
215 174 44
211 53 150
22 88 230
24 236 86
238 68 197
7 233 122
26 149 228
35 55 154
77 126 242
77 134 216
238 195 248
122 62 100
146 174 194
58 58 4
110 175 152
141 219 167
218 92 64
9 159 86
88 91 236
55 61 222
26 93 180
130 125 172
4 167 214
83 108 141
61 210 93
210 237 70
254 192 149
131 114 129
215 69 135
151 215 53
251 206 208
27 251 122
110 62 168
72 25 54
157 16 1
109 28 207
0 44 245
154 143 187
242 196 192
226 7 63
51 187 73
88 115 74
180 197 188
130 82 129
82 234 129
27 25 239
124 57 59
32 132 221
103 139 251
69 5 196
31 121 88
129 206 58
118 236 51
52 85 99
222 164 101
245 162 26
90 80 80
233 22 103
233 200 166
44 188 33
110 163 202
172 142 57
154 226 121
70 209 140
4 46 202
25 27 152
13 162 192
225 7 113
251 97 26
63 147 158
248 209 53
183 174 47
41 32 140
16 165 190
52 144 134
240 132 9
165 30 63
112 49 190
228 138 123
27 45 185
79 127 72
11 146 14
85 142 226
112 23 77
78 99 6
192 232 238
176 44 153
32 229 220
240 129 184
103 64 66
38 240 248
203 76 124
35 162 151
88 137 180
237 61 80
74 111 230
24 197 47
54 217 30
79 97 215
62 227 33
28 0 217
139 162 118
163 78 133
167 127 59
194 204 130
141 147 65
149 223 98
137 59 187
155 241 25
152 236 197
145 137 117
191 234 104
224 206 121
243 139 160
245 219 160
26 182 143
253 249 126
23 38 214
92 3 117
251 195 180
53 77 72
251 23 87
196 133 43
171 37 196
35 51 15
199 76 29
165 32 109
195 193 132
92 129 148
126 77 166
204 86 38
107 154 82
231 26 227
90 33 172
186 59 2
150 135 167
194 129 238
68 128 24
243 109 210
111 218 79
118 48 96
145 206 208
26 83 192
154 219 191
128 147 90
141 190 1
170 190 208
174 196 126
220 4 145
165 159 53
58 162 252
231 225 89
172 31 221
121 26 34
214 250 179
37 101 108
46 176 207
95 254 25
42 115 245
39 177 12
57 155 143
12 142 81
229 60 85
3 14 150
84 124 93
225 97 210
17 13 195
163 49 229
102 17 99
58 204 150
208 18 211
209 97 80
70 111 150
184 39 246
62 49 71
66 66 179
139 130 106
233 151 177
72 20 136
96 214 178
20 28 49
164 34 242
155 223 174
131 47 9
129 30 175
29 173 199
253 245 153
186 187 185
124 114 191
39 61 80
40 41 153
233 242 7
2 233 221
249 53 60
15 0 63
225 162 117
136 73 110
233 250 129
92 144 200
12 73 54
237 34 40
183 13 9
4 83 168
28 222 53
108 89 42
127 92 173
175 149 175
50 209 244
241 114 75
85 51 38
155 249 247
131 185 67
157 128 238
231 130 180
168 194 159
146 32 231
147 14 249
129 143 24
33 127 82
238 179 67
205 197 196
13 113 74
193 160 58
189 241 79
254 34 219
3 149 183
33 206 14
203 140 16
150 243 221
21 35 157
151 230 31
87 83 73
62 168 3
44 64 197
190 22 213
221 210 114
196 147 66
55 212 57
219 214 75
209 235 149
136 129 71
235 107 109
26 165 169
233 135 94
178 192 92
0 113 101
45 44 186
105 220 10
228 51 180
39 129 31
17 150 33
206 197 243
249 163 212
123 101 0
100 136 244
198 84 142
244 61 188
182 45 18
132 179 157
53 26 49
69 156 48
80 196 250
166 44 41
160 68 119
145 165 18
179 90 175
212 212 225
21 61 109
242 53 129
164 69 89
232 38 227
115 193 119
5 55 84
221 65 35
159 204 70
250 221 37
96 125 143
68 10 106
72 27 59
219 51 62
105 46 250
173 73 21
21 225 118
167 142 92
59 16 204
66 38 4
179 36 193
10 68 213
17 120 246
223 171 20
227 103 147
69 9 33
238 96 88
192 28 141
163 145 231
188 24 35
205 8 254
240 191 250
119 113 96
241 104 76
243 207 102
169 221 37
193 69 168
179 180 52
247 232 34
121 87 154
138 140 10
167 139 41
248 12 169
105 223 143
59 79 34
125 101 43
209 8 207
175 4 132
131 22 105
212 195 58
181 4 109
148 215 202
170 134 58
80 198 165
106 89 68
193 165 27
239 36 62
119 75 154
179 118 0
75 14 220
169 54 178
201 165 185
46 41 5
92 165 77
134 180 132
223 131 121
141 10 55
29 45 15
5 146 6
227 179 228
114 43 96
213 55 201
101 190 140
59 204 214
206 210 241
120 118 28
132 112 72
136 10 79
169 142 206
69 111 183
234 43 119
95 34 146
150 27 133
43 83 187
56 193 91
230 53 165
98 188 138
110 221 47
130 189 61
124 212 130
218 88 161
224 230 248
106 126 113
221 161 227
50 253 17
208 140 240
112 101 202
200 171 137
167 61 226
165 24 95
40 181 100
213 139 83
18 136 79
242 205 176
51 91 177
212 14 192
231 97 157
197 200 83
6 156 168
70 54 155
69 147 146
59 212 223
194 131 100
229 185 26
92 118 38
125 70 146
152 6 55
97 88 224
136 241 61
77 150 63
137 48 102
157 10 122
179 45 243
82 186 103
158 129 206
22 130 161
19 155 183
16 56 213
24 195 3
116 69 77
91 93 87
50 233 175
108 26 165
170 193 16
85 38 165
73 62 57
131 222 247
109 168 72
68 7 134
92 15 171
190 112 137
173 162 157
165 93 195
80 62 209
176 213 7
184 169 87
132 212 129
49 82 98
250 246 127
239 61 5
172 104 19
180 67 7
51 230 46
63 111 190
41 54 173
2 235 77
114 68 126
188 45 135
17 195 68
24 217 164
114 186 253
234 208 111
146 229 131
7 169 142
227 191 12
192 123 223
100 184 2
212 30 15
51 123 194
244 47 162
107 180 56
140 204 172
89 110 108
170 131 166
207 184 50
40 211 219
194 18 65
155 98 23
134 90 55
114 112 60
225 139 59
216 90 111
202 38 186
44 228 190
22 211 203
31 229 26
97 103 252
119 37 155
59 35 143
239 119 133
251 176 232
61 55 49
85 171 139
206 232 107
52 204 119
201 240 111
223 197 221
238 102 134
67 32 20
40 37 111
250 133 218
86 162 130
5 114 45
166 18 169
219 209 124
143 205 210
232 153 216
184 135 215
164 75 91
241 121 167
63 220 249
88 235 7
33 116 183
193 53 63
188 122 217
211 247 34
126 177 132
133 19 190
15 2 4
228 141 134
241 139 16
9 88 142
170 29 69
213 34 16
202 30 224
242 33 209
164 173 66
47 59 230
140 219 194
237 181 76
165 54 243
108 15 40
106 41 132
153 177 214
28 88 12
155 222 229
69 210 49
82 49 246
27 39 206
214 161 152
130 127 133
48 195 80
181 173 10
204 147 136
236 86 85
83 63 194
7 221 207
120 123 202
245 225 224
184 143 104
70 182 51
46 55 83
241 67 105
85 37 208
80 51 25
51 207 72
206 204 110
74 69 59
176 191 120
161 26 232
51 154 24
174 1 212
130 3 144
91 31 72
129 65 221
221 71 60
162 214 194
55 208 72
185 43 230
83 108 214
104 64 220
147 212 167
79 108 177
147 47 135
19 16 187
24 209 208
222 127 239
242 21 31
94 227 91
251 134 32
77 199 53
143 217 144
90 52 130
237 181 203
88 198 226
95 183 202
207 42 221
35 152 215
138 223 249
81 60 125
145 194 194
158 41 98
247 86 118
49 45 134
123 90 57
80 178 5
58 144 80
157 166 9
55 15 60
154 248 89
2 153 243
248 247 205
62 55 229
180 27 228
203 117 94
142 209 171
209 209 233
92 81 143
211 69 209
27 137 15
82 87 81
135 191 41
167 249 175
199 125 37
178 30 222
143 138 50
185 67 40
25 25 226
159 74 78
112 113 38
230 209 5
171 219 125
75 48 1
4 196 3
196 92 175
56 0 180
109 1 16
50 185 59
185 195 36
225 173 216
112 95 156
116 169 137
84 156 134
44 112 181
209 243 51
70 130 246
36 240 45
36 129 230
172 11 165
135 0 191
122 240 144
177 36 85
21 113 137
91 55 160
230 67 144
244 234 127
229 207 134
