2000 80
42 9 22
21 34 21
17 10 25
26 27 30
18 10 3
29 45 10
48 12 36
24 36 11
38 6 28
29 5 20
35 22 33
10 29 4
46 39 2
47 15 25
36 29 6
2 33 11
3 7 2
41 13 39
12 36 38
39 16 15
37 28 12
44 18 48
30 48 27
30 45 42
22 37 19
30 22 15
18 30 42
22 47 24
27 33 24
37 38 28
23 36 31
23 23 8
30 11 28
0 28 2
3 1 20
29 33 35
44 28 10
33 30 19
14 20 14
18 40 24
30 45 1
7 15 18
40 19 41
1 34 26
20 47 5
14 38 18
24 25 33
5 44 28
46 28 43
30 2 14
40 35 8
46 46 22
45 22 37
45 23 18
27 3 8
32 28 36
0 29 38
7 1 26
3 27 46
20 24 8
38 45 48
1 22 21
23 45 6
2 24 27
48 14 6
9 11 38
11 23 46
11 25 16
44 36 15
34 43 45
23 13 26
34 19 39
26 39 48
11 22 7
46 45 48
21 26 9
34 41 0
24 1 47
3 32 5
18 32 10
7 27 34
39 33 41
24 8 22
22 43 29
33 0 44
46 18 29
3 6 32
41 44 23
45 44 43
15 43 28
18 5 46
8 16 35
12 13 6
35 48 31
27 37 8
29 12 12
16 5 41
11 37 8
44 13 23
0 28 1
40 6 28
3 21 39
33 43 33
42 23 14
47 28 8
46 5 34
12 39 27
4 22 7
32 31 23
2 12 14
8 25 15
3 7 13
8 30 5
45 16 45
30 6 32
5 4 44
40 30 11
41 30 43
32 11 9
12 48 20
45 36 44
22 8 44
18 36 44
21 33 11
26 26 40
20 5 19
43 38 43
10 38 46
20 0 32
41 35 0
43 13 13
7 19 37
35 9 6
2 16 14
35 8 22
3 35 31
11 20 20
13 33 32
21 21 39
2 44 22
8 26 39
17 8 19
20 7 12
43 47 29
48 10 29
18 37 34
1 17 2
12 23 20
38 6 25
17 7 38
23 4 34
26 28 42
31 33 36
45 43 26
12 11 35
16 18 23
45 45 37
48 7 13
13 2 17
6 0 43
20 17 11
47 3 3
29 22 46
22 29 26
17 44 4
41 24 23
16 12 18
45 2 10
14 41 28
20 25 27
16 23 17
46 3 20
26 3 1
13 3 25
29 24 25
35 2 26
20 8 11
0 24 17
25 44 39
42 22 8
17 35 7
27 10 14
20 15 36
42 32 45
19 16 11
19 37 6
8 38 32
27 1 8
27 8 21
41 5 37
10 1 2
25 6 46
17 14 32
18 29 47
7 25 37
20 47 45
6 37 43
9 37 39
8 20 0
37 2 20
20 38 9
17 4 36
35 7 48
31 36 29
42 14 37
47 39 32
2 26 11
46 5 15
30 32 0
23 11 2
2 40 4
31 3 12
29 4 47
3 48 27
32 15 16
0 5 43
24 19 6
41 18 38
29 42 33
31 47 42
39 1 0
19 21 24
23 24 14
8 14 24
45 48 0
34 45 46
28 47 29
14 4 34
14 3 32
7 27 4
9 43 48
18 24 13
34 38 13
6 12 45
20 14 3
34 48 44
38 0 15
15 36 10
38 44 17
25 36 35
25 29 38
23 28 41
25 33 18
19 20 23
37 47 26
35 8 41
43 9 26
10 43 18
43 33 42
11 16 1
28 5 40
34 12 4
22 12 4
44 7 14
1 40 32
48 10 32
5 5 34
34 7 11
15 41 28
45 48 41
16 4 23
3 5 18
22 7 14
1 25 26
14 11 5
12 17 45
14 39 44
13 21 15
37 34 18
14 43 48
45 37 28
28 30 38
38 28 37
32 45 22
23 33 5
46 4 41
31 18 2
15 15 22
0 8 29
7 29 5
18 10 4
14 0 20
4 24 48
36 27 25
36 10 10
36 44 39
29 27 36
43 41 48
3 43 23
33 10 1
18 38 7
9 13 43
5 39 29
33 14 38
19 39 38
6 5 19
43 30 20
9 7 37
39 8 29
43 12 11
24 44 24
32 28 2
24 33 32
17 11 32
30 29 24
26 18 4
45 20 26
35 31 9
28 20 20
1 2 29
48 0 36
11 32 15
20 2 30
43 14 31
33 23 1
33 40 44
37 25 21
4 34 29
44 43 36
9 46 7
13 29 8
25 20 18
42 0 14
43 16 13
17 45 8
20 26 32
10 21 0
22 7 47
44 10 45
44 5 10
43 26 41
42 12 48
25 3 6
8 7 22
19 25 26
21 7 20
21 15 15
48 26 43
6 30 6
6 48 1
8 0 28
17 17 2
13 25 22
27 40 10
33 21 2
31 28 11
27 46 23
16 31 33
21 18 48
10 2 41
48 1 13
40 1 2
44 36 42
38 42 28
31 19 20
7 27 33
39 45 42
15 16 21
15 35 30
43 36 40
36 9 2
44 30 24
20 40 48
2 46 33
10 13 47
6 43 23
46 45 42
21 4 11
8 27 28
5 8 7
45 13 28
30 0 7
36 18 46
26 4 4
45 18 17
13 47 8
11 42 20
15 38 12
8 11 41
15 13 28
27 33 30
13 44 2
48 40 21
34 4 25
31 1 28
48 39 8
31 6 39
12 40 39
0 1 12
24 21 11
8 45 6
19 3 43
46 42 19
11 46 31
38 47 5
0 25 29
14 12 6
44 35 16
11 20 7
36 41 16
15 23 6
30 20 29
43 42 18
10 6 47
3 4 27
19 23 5
46 38 23
34 3 40
13 1 44
39 0 35
28 3 44
30 20 33
3 42 10
32 41 10
34 37 43
3 40 1
4 23 4
20 15 22
41 37 43
28 38 18
8 6 24
48 19 39
43 21 26
6 10 17
14 18 13
7 34 28
24 41 21
36 8 20
9 17 25
8 28 7
38 44 48
31 9 10
7 29 25
11 35 12
47 28 27
31 17 33
33 7 2
26 5 27
19 20 31
27 9 47
10 6 2
24 7 39
28 40 8
9 8 32
4 31 47
9 43 25
39 45 15
23 9 34
37 39 17
38 5 24
36 1 12
26 46 39
7 13 31
42 36 30
13 44 6
44 34 44
39 27 42
33 36 32
28 45 9
27 13 30
15 21 9
46 34 0
42 20 46
8 0 20
1 15 5
6 48 14
17 34 42
30 47 16
48 42 19
45 14 7
19 18 39
48 42 47
24 38 37
12 1 35
12 37 3
9 41 32
8 22 33
15 15 13
40 38 31
3 15 38
39 28 33
12 39 32
16 38 22
16 33 9
28 22 46
20 2 43
26 34 29
14 23 29
34 47 9
46 44 10
15 35 26
10 42 31
32 13 19
44 3 47
3 0 28
36 21 17
5 39 37
8 16 0
35 15 32
44 13 9
47 11 16
34 19 10
28 19 11
19 22 45
21 40 48
28 5 4
13 18 12
42 39 18
1 36 23
20 40 3
33 2 9
6 16 46
23 34 14
3 18 41
5 40 15
26 3 36
23 2 17
31 19 15
21 15 8
25 2 25
47 14 25
30 37 1
47 12 4
30 41 19
47 31 43
29 33 1
11 38 36
36 15 7
33 26 34
28 17 44
2 17 43
13 18 42
9 38 36
5 4 32
44 10 20
36 46 26
21 36 39
24 14 40
40 19 31
46 28 20
4 44 28
