4000 300
43 24 28
23 6 46
21 44 42
7 48 23
3 18 14
24 24 17
0 29 20
1 20 12
29 31 43
13 17 2
10 38 48
23 31 11
40 26 36
18 6 34
39 46 22
41 2 25
34 19 43
5 43 16
25 17 9
28 33 45
0 5 34
10 21 9
17 32 2
40 45 12
48 9 4
21 13 30
22 25 48
43 8 8
2 11 18
13 23 27
28 27 19
45 45 35
3 6 38
18 41 4
44 3 9
6 19 19
9 24 32
29 1 6
41 3 3
30 21 35
14 38 43
48 8 17
1 36 7
37 9 25
13 27 21
33 32 44
26 13 20
2 38 48
1 43 37
12 37 41
41 28 27
0 29 27
3 14 5
17 5 24
8 10 28
21 25 19
1 19 13
19 15 24
18 17 4
3 15 5
12 46 40
20 40 29
25 19 27
45 24 28
30 43 39
28 43 12
14 7 31
5 43 18
29 21 16
38 2 4
15 35 42
17 19 21
18 32 8
21 0 0
15 40 43
36 32 41
10 35 36
22 33 11
27 46 12
24 38 15
43 20 2
2 41 17
30 38 41
18 47 33
30 18 30
1 40 4
4 25 3
7 34 34
46 1 45
44 27 5
0 25 33
42 23 35
3 12 46
2 46 33
30 5 42
6 1 0
14 34 12
43 17 20
45 11 1
5 14 30
37 38 15
35 23 34
22 18 12
27 49 12
49 20 38
30 6 8
46 40 3
36 31 15
39 22 15
31 47 49
4 28 39
27 44 5
18 40 37
17 38 32
36 0 38
42 18 35
22 45 45
49 27 41
34 41 9
43 26 0
33 49 37
20 9 7
27 1 3
4 16 8
32 44 28
33 46 24
16 34 36
46 1 9
32 17 41
23 33 7
15 16 1
38 16 26
26 11 3
37 16 31
16 9 23
46 30 16
16 20 4
10 25 24
49 6 0
28 17 3
20 35 27
22 24 37
21 28 31
37 4 35
31 29 8
6 45 19
23 40 33
36 18 13
45 6 37
17 1 9
2 37 41
28 28 19
33 31 33
48 35 3
19 35 6
17 17 25
31 24 40
48 25 29
20 16 44
4 26 46
45 21 20
47 29 15
9 41 44
25 32 39
41 22 48
22 19 17
33 8 24
21 26 20
48 38 27
12 25 42
14 19 1
8 31 35
13 6 44
40 3 33
7 41 36
11 16 3
43 26 5
37 28 13
21 9 20
15 36 45
27 10 5
35 14 10
46 39 46
45 6 5
40 20 8
38 38 2
6 44 22
45 21 33
1 41 34
49 9 29
7 7 34
37 44 2
27 47 10
37 6 24
9 37 8
23 26 25
41 8 42
22 42 9
3 36 6
44 38 12
8 29 5
31 38 31
18 28 45
34 9 43
21 19 42
36 7 42
4 35 21
1 37 5
26 42 21
29 14 46
42 2 38
45 10 20
47 20 38
35 15 20
2 35 40
5 47 26
36 14 24
44 14 17
23 37 36
4 37 11
4 3 45
1 20 14
20 44 4
15 47 4
10 21 33
39 17 15
42 23 2
23 13 27
4 40 19
12 39 46
8 6 10
18 40 36
5 16 33
24 38 27
18 31 40
32 0 9
3 21 29
49 48 7
36 7 22
6 26 27
38 39 25
44 29 25
7 29 24
40 8 36
26 27 48
49 22 41
35 10 7
28 47 45
5 38 26
6 2 19
37 0 47
9 18 43
38 43 0
44 45 2
19 32 34
17 20 44
42 37 13
8 13 39
9 33 0
22 36 20
44 7 18
7 23 39
34 18 5
2 48 32
32 30 49
12 20 32
11 6 4
26 37 20
14 14 44
18 42 26
18 17 24
34 34 23
4 42 9
4 32 45
25 10 6
20 42 12
17 20 14
14 28 19
49 11 0
14 29 39
14 24 33
5 1 6
25 34 4
34 5 25
35 38 4
49 32 28
43 1 46
10 39 21
40 32 29
38 49 17
7 16 40
28 25 22
1 12 46
33 41 7
32 35 37
2 48 40
43 2 17
17 23 40
7 23 26
47 7 23
34 10 44
31 13 5
37 21 30
12 8 10
5 46 3
25 20 6
36 41 2
35 35 24
4 25 10
1 32 28
10 25 20
30 10 49
13 45 31
8 38 19
28 6 32
46 23 36
32 4 15
40 4 23
15 44 30
48 12 37
0 18 0
16 22 9
3 37 26
45 40 1
41 41 31
1 40 35
44 17 21
24 36 18
45 23 39
36 41 34
14 15 3
17 3 49
46 13 15
31 38 4
4 32 27
43 19 21
31 47 26
0 19 5
41 40 0
16 27 23
34 26 27
39 48 24
4 28 17
38 21 13
22 43 28
35 38 27
39 25 0
5 42 16
10 42 42
13 17 30
7 18 13
49 32 46
39 11 31
2 46 15
22 20 34
2 24 32
41 32 48
24 25 9
19 20 4
39 10 34
25 28 11
48 8 25
21 30 13
10 16 38
25 37 30
14 36 43
46 49 16
13 20 40
43 24 23
22 33 18
5 22 4
15 14 41
42 25 19
24 11 44
36 3 3
31 32 40
3 44 6
43 1 2
6 33 12
15 45 37
14 16 12
35 46 8
32 40 10
21 33 13
25 32 25
20 27 23
41 29 26
22 20 32
40 34 15
39 22 44
20 15 33
37 24 17
13 18 49
35 28 9
46 34 34
8 41 34
37 22 20
36 26 6
34 22 20
21 32 31
44 14 44
16 43 46
49 33 12
34 47 35
4 0 23
46 14 33
23 10 16
48 33 31
20 18 45
20 31 3
4 42 49
46 29 23
14 35 12
36 30 19
45 32 45
4 5 30
47 5 32
0 4 49
8 26 29
29 7 33
14 25 22
18 6 37
44 31 40
6 23 5
24 23 3
35 16 29
7 35 21
41 10 33
39 31 16
36 33 0
29 36 36
23 39 48
27 21 8
4 49 33
26 23 35
21 40 27
17 17 22
14 15 38
48 25 24
14 36 22
44 45 13
25 42 31
38 17 46
15 35 6
40 23 26
44 27 12
1 21 45
2 44 0
49 5 21
49 28 20
37 22 6
21 49 38
41 37 11
12 13 11
6 14 15
18 47 11
42 2 10
11 46 15
17 39 3
6 18 26
31 17 4
47 1 28
3 35 3
6 31 28
11 36 17
2 36 28
25 20 0
10 22 4
45 7 36
1 5 22
43 16 5
0 39 2
10 0 46
37 4 1
42 45 14
32 3 25
3 2 27
15 29 8
25 20 40
2 31 17
32 30 26
26 12 18
26 35 20
43 27 25
2 15 42
37 19 7
13 19 43
0 28 40
25 35 49
49 44 40
13 11 40
3 3 0
40 32 28
38 11 9
38 42 17
29 23 1
20 38 40
37 45 44
12 42 34
39 8 28
7 5 48
4 35 46
5 22 42
36 17 30
17 29 33
39 34 22
4 1 12
8 7 40
44 36 2
34 40 0
8 49 23
26 3 25
32 38 16
0 19 48
28 34 35
9 9 44
20 33 44
48 19 0
33 3 7
30 36 14
49 13 27
27 43 31
42 30 5
49 4 43
42 24 16
39 2 6
9 29 21
32 33 34
16 39 37
40 32 3
1 3 36
