100000 30000
236 183 19
24 235 34
255 28 4
21 220 157
97 135 237
111 62 248
91 61 55
84 3 205
192 145 121
61 186 78
139 130 72
171 179 152
177 83 4
51 34 241
105 98 146
251 222 115
242 219 193
17 15 180
149 72 229
28 169 243
191 202 172
218 88 128
140 126 135
244 97 227
117 57 56
60 104 239
114 113 185
66 178 115
148 156 7
20 35 98
158 74 125
251 67 239
111 157 112
225 114 124
22 19 117
100 73 5
147 221 19
225 1 221
85 20 251
166 160 101
54 234 112
88 200 132
205 99 106
134 184 115
140 123 82
252 63 142
66 201 56
172 135 116
139 226 159
8 233 8
79 145 252
106 134 246
199 63 152
102 35 25
147 166 154
255 141 207
55 75 83
225 82 116
47 8 240
95 126 201
130 29 35
131 12 163
14 2 193
193 45 144
222 238 150
203 119 62
137 114 169
246 112 170
46 98 249
245 132 162
110 106 116
242 125 158
192 228 103
1 13 38
113 139 250
56 131 244
101 8 51
23 36 105
32 13 166
128 108 49
182 85 144
61 207 54
130 181 44
242 199 178
90 56 183
205 218 136
6 50 103
241 156 172
152 147 233
35 180 141
155 204 103
62 94 231
74 203 131
8 224 208
189 45 107
240 138 226
235 58 139
70 77 173
146 174 137
81 107 230
51 69 128
47 124 164
142 20 125
103 144 140
124 198 86
212 184 193
134 120 39
60 152 103
200 173 155
85 76 229
2 40 17
228 2 125
64 189 204
158 86 22
0 105 66
32 229 201
106 41 127
229 201 152
206 173 200
146 98 217
168 102 34
35 64 195
33 247 233
18 20 164
174 82 54
46 59 31
125 181 147
224 117 95
71 170 10
203 36 64
125 110 206
164 233 156
165 162 157
255 58 163
23 0 210
184 181 138
98 140 151
119 4 83
102 65 148
203 255 19
249 96 82
51 148 3
178 11 135
218 102 22
221 104 66
25 0 164
207 217 83
162 248 54
136 16 169
218 28 95
157 239 154
181 77 56
153 225 229
234 36 228
250 130 143
69 79 125
32 32 180
116 192 43
149 142 180
219 202 136
43 28 66
141 232 68
168 212 182
181 254 147
126 118 118
85 246 76
67 88 27
233 220 109
143 200 94
22 220 180
120 164 207
134 207 80
166 22 212
43 72 168
226 141 196
121 83 155
53 10 211
214 159 44
168 108 240
207 6 35
82 238 212
74 161 67
207 195 89
129 30 226
141 62 216
101 48 240
106 174 182
155 183 42
247 155 56
43 160 187
107 41 252
44 155 90
243 57 155
56 42 140
136 193 181
200 247 208
155 163 137
65 7 192
137 181 6
25 65 194
161 118 67
217 124 5
239 9 189
31 200 161
152 116 52
23 28 238
80 79 0
129 13 140
250 77 159
116 184 114
122 146 93
18 89 197
231 63 38
92 139 7
77 151 167
190 151 229
108 50 99
88 245 1
7 144 235
93 4 66
155 93 35
73 21 138
32 213 164
41 160 209
171 151 121
171 250 25
169 38 38
136 45 239
184 224 206
135 41 37
254 66 82
74 151 8
254 218 190
99 20 22
145 145 19
5 223 210
103 149 254
130 51 103
234 170 198
224 90 59
246 114 59
63 225 221
239 143 185
85 203 55
85 119 237
218 50 210
111 31 230
29 43 254
180 71 176
95 234 55
244 152 228
136 13 202
191 105 101
72 234 23
54 47 59
57 168 91
160 203 249
175 206 194
177 75 254
248 211 126
88 185 213
62 193 40
181 232 228
47 66 230
47 87 173
71 104 209
114 33 194
10 209 12
41 184 23
11 30 109
237 154 194
59 114 209
31 235 254
109 40 158
233 66 59
104 30 80
19 120 70
77 214 60
223 4 196
130 183 80
75 50 176
229 138 161
42 31 107
240 220 214
139 110 212
255 249 103
46 137 0
227 14 85
246 133 183
180 100 222
96 26 126
82 203 87
189 136 234
104 28 141
37 124 220
239 128 106
45 78 212
132 117 164
191 102 106
16 183 243
39 4 165
184 226 104
10 162 148
124 238 62
170 241 60
87 115 225
9 240 90
111 74 130
107 17 182
22 97 86
120 142 211
77 43 33
83 50 27
30 123 37
182 236 83
114 189 34
211 248 152
124 175 215
47 86 42
213 39 132
55 175 144
138 161 244
149 101 229
251 122 247
214 109 58
141 178 181
135 225 161
246 164 65
181 241 96
3 16 233
118 229 207
181 152 193
141 61 232
83 246 24
131 190 163
87 189 58
28 33 137
176 224 237
44 14 8
72 209 176
239 115 215
137 42 181
42 74 22
167 70 146
247 101 116
2 170 111
252 194 109
20 84 171
73 175 135
218 143 224
163 147 67
238 185 143
231 128 99
26 119 92
80 55 31
104 147 223
55 74 239
81 104 44
59 56 246
188 64 239
154 34 105
10 138 86
49 3 73
248 247 92
29 126 35
197 70 227
83 69 239
217 20 59
90 20 255
199 42 89
241 12 220
249 16 11
237 175 240
4 181 125
221 183 149
202 61 91
68 40 7
70 115 214
250 234 118
56 171 71
171 146 137
37 176 228
220 47 118
74 103 122
18 155 209
33 195 240
174 24 125
9 241 231
3 189 87
21 211 47
41 11 13
143 93 13
20 76 113
186 80 95
227 13 54
230 108 114
225 244 125
108 54 26
78 220 227
239 100 114
191 251 121
183 11 44
58 31 74
23 146 233
222 46 156
14 119 103
80 241 240
74 119 131
247 105 239
86 192 73
135 187 7
193 72 67
250 43 251
39 67 247
183 121 224
74 40 32
229 36 4
236 49 179
245 89 98
51 101 153
229 25 6
138 119 56
33 113 151
93 170 128
22 61 235
138 145 167
152 69 109
67 45 149
219 152 224
121 165 70
64 86 35
241 71 193
44 55 221
169 154 14
172 8 210
49 97 161
218 43 110
108 151 209
254 88 239
97 57 26
76 11 22
80 41 54
153 34 144
65 59 251
169 207 12
78 21 169
57 136 228
159 183 172
57 225 107
11 30 123
140 97 247
8 133 144
254 95 242
81 13 136
64 62 217
127 175 179
160 253 187
188 218 101
63 235 172
54 170 81
187 234 222
74 236 113
17 166 101
44 117 184
23 247 88
9 177 110
52 226 49
59 89 102
7 45 141
62 174 193
0 60 21
57 89 247
216 55 57
252 28 121
132 52 63
29 52 116
206 215 41
124 11 209
55 164 126
84 4 18
40 78 131
22 121 156
4 241 221
103 135 206
217 58 158
142 195 177
82 41 184
129 254 212
13 174 181
222 190 209
99 70 16
240 21 73
141 168 144
193 226 112
234 197 62
106 179 145
164 204 162
195 79 176
135 233 153
244 121 30
17 130 91
22 143 247
234 134 49
51 242 108
83 185 231
202 248 65
62 174 250
189 144 245
89 214 82
234 174 85
245 177 146
215 170 139
162 185 144
92 169 145
23 116 221
207 8 19
91 251 51
138 125 30
48 247 212
237 103 8
104 96 36
62 115 140
244 174 133
89 253 82
109 139 123
159 222 47
83 157 246
128 203 35
176 72 65
123 248 81
164 72 217
86 53 64
148 185 21
24 0 239
182 99 245
55 20 3
112 94 133
198 52 252
159 134 77
177 112 164
64 217 136
251 164 247
199 154 62
3 91 16
247 94 104
164 104 167
171 66 159
77 232 64
183 141 170
72 24 162
39 168 144
23 38 174
190 239 72
104 121 13
4 153 52
182 218 135
57 255 114
225 183 246
86 244 89
212 120 228
231 149 201
202 22 23
88 219 154
252 200 167
149 27 117
13 134 241
156 239 126
246 119 57
170 73 80
152 127 66
165 114 94
225 201 28
180 155 40
23 55 28
181 185 48
46 87 208
115 123 48
228 170 166
211 244 85
100 20 167
95 115 231
31 173 252
88 156 45
229 26 144
111 220 218
157 55 7
140 160 251
89 161 107
68 223 116
21 201 186
160 82 137
234 89 222
213 16 31
113 96 55
188 4 135
142 137 118
241 35 85
130 30 23
251 217 240
60 44 54
26 76 92
122 226 189
180 115 222
177 117 10
83 195 78
140 212 151
28 66 245
43 220 174
230 116 30
253 127 123
208 164 115
249 92 109
246 195 226
86 209 101
24 192 212
152 244 34
128 37 142
79 160 213
44 143 219
68 87 252
3 46 148
183 245 96
167 242 208
235 231 170
248 228 189
158 55 130
188 108 136
39 55 233
205 254 80
222 6 91
58 23 3
50 80 138
71 73 157
52 226 20
218 96 250
45 71 200
91 30 56
93 145 116
82 173 73
94 151 184
64 226 62
115 242 229
25 60 94
60 71 222
66 28 194
190 217 24
85 184 176
151 106 187
239 34 148
153 212 230
240 104 107
217 160 211
198 207 212
141 164 12
200 165 117
52 97 106
208 162 239
27 10 141
150 208 237
197 82 51
12 255 99
128 123 157
166 135 149
177 190 225
248 133 226
22 164 215
15 108 79
54 26 242
217 215 170
36 171 193
68 34 112
188 24 164
25 180 48
41 238 25
83 192 30
146 223 204
31 165 3
73 27 221
247 9 248
59 105 207
2 93 27
190 195 35
15 116 74
128 84 57
102 66 15
253 200 106
106 193 137
217 197 197
247 223 28
144 183 219
92 206 162
176 102 90
192 29 147
214 123 174
88 157 62
131 193 195
8 5 217
239 11 100
121 181 220
167 232 5
221 176 74
234 8 88
26 221 126
221 69 71
76 71 236
23 31 114
93 152 19
126 137 228
111 1 153
168 47 147
64 66 9
149 69 40
155 108 209
155 207 91
173 72 146
83 16 68
246 94 212
103 222 244
33 7 188
53 186 223
42 199 255
184 239 7
119 168 101
225 98 12
153 105 138
120 137 94
24 12 225
181 197 78
52 232 18
12 222 213
174 202 243
131 213 247
171 65 10
1 191 170
221 160 178
0 198 18
131 130 135
10 211 24
75 215 162
141 211 13
15 81 15
225 51 185
51 37 112
61 237 35
137 206 106
40 107 174
160 208 73
199 200 241
121 8 75
132 243 66
206 144 46
113 138 81
101 189 242
158 151 239
40 21 241
114 234 124
89 140 59
68 111 127
56 115 61
218 9 233
241 193 1
46 231 234
241 57 41
28 73 208
240 44 129
220 145 135
17 23 196
27 126 135
202 234 240
90 220 169
107 137 234
63 72 190
197 36 170
238 12 250
239 214 2
24 32 229
218 191 26
239 193 245
46 92 210
88 89 58
144 239 23
185 161 81
196 183 67
15 13 40
235 244 44
212 41 222
11 10 54
3 163 61
74 64 135
117 254 245
128 2 128
90 84 7
61 238 0
133 23 242
125 21 77
65 251 71
240 93 87
234 114 234
94 67 55
223 251 187
35 196 178
163 117 230
72 250 120
239 65 91
54 123 139
82 168 180
24 252 236
33 150 153
47 26 32
134 82 47
210 167 98
48 26 54
47 72 58
119 21 205
232 0 114
116 160 221
96 7 255
177 23 182
152 125 136
41 143 26
167 199 218
188 208 190
6 40 218
185 161 220
111 249 80
172 168 179
192 130 85
98 7 87
184 63 159
116 8 194
45 232 170
198 229 199
24 41 188
132 33 92
169 3 243
195 184 139
212 188 212
182 63 135
53 247 196
57 62 171
11 41 64
8 151 230
255 224 111
211 113 48
76 131 241
147 14 90
209 5 25
112 21 74
215 148 36
136 44 23
166 58 209
208 85 239
23 107 208
96 13 249
26 57 14
229 217 22
10 233 26
160 62 88
158 62 84
193 254 224
86 247 58
113 45 189
80 240 47
27 116 73
75 36 28
83 140 11
149 81 214
142 25 153
212 174 195
129 152 215
17 254 157
234 99 252
39 138 75
147 167 159
220 183 36
200 96 192
148 9 157
158 225 225
240 96 78
203 165 174
230 216 242
228 240 142
238 162 196
175 153 136
26 241 214
80 42 246
30 30 1
121 125 154
146 165 118
187 7 88
180 47 105
151 251 58
3 160 63
99 115 16
156 221 149
5 221 219
8 198 198
221 113 22
85 175 26
192 20 197
30 117 221
117 71 94
32 83 24
55 235 34
195 1 157
191 213 62
14 102 209
69 28 230
27 247 159
65 125 215
171 146 177
208 225 156
181 67 167
190 9 188
136 127 17
170 77 115
124 23 204
