8000 1000
30 26 18
46 14 50
40 28 0
42 35 25
32 12 6
10 11 33
22 7 35
47 43 28
7 5 32
50 12 27
44 24 22
29 19 1
10 24 14
38 22 29
31 37 14
26 45 13
40 32 41
17 27 5
22 41 31
33 18 32
26 44 47
33 44 5
7 38 31
36 41 50
10 7 15
23 21 24
36 1 1
22 12 37
42 43 0
29 37 44
8 7 21
6 8 40
17 6 3
41 25 50
38 0 1
22 24 3
38 28 30
38 6 9
28 12 33
30 28 50
8 16 35
13 30 19
3 24 39
10 19 27
26 39 45
11 6 42
22 46 12
26 1 3
32 15 19
2 43 13
46 3 42
39 22 9
27 32 43
50 25 12
49 16 36
28 7 15
32 47 36
0 50 47
3 20 34
13 40 26
31 23 4
14 17 3
4 7 42
44 39 44
11 41 39
5 10 13
50 26 6
17 33 12
15 11 4
44 6 33
17 42 2
9 30 34
39 19 49
39 40 19
0 35 37
35 29 42
37 21 18
34 11 26
22 41 3
34 20 50
44 43 10
23 35 1
17 1 48
26 23 1
1 2 23
45 50 4
39 26 19
37 6 50
39 35 11
1 34 26
43 12 38
14 2 7
17 43 29
40 5 27
27 31 33
14 30 14
38 3 32
12 48 32
34 16 45
23 50 38
4 8 27
50 8 26
13 12 38
24 49 39
2 25 50
7 36 48
5 3 17
17 38 11
34 42 47
10 48 13
41 45 16
48 4 13
12 21 34
49 15 0
31 9 33
23 21 39
27 42 31
23 47 44
46 30 8
48 25 44
25 18 19
16 0 37
2 24 44
23 50 44
25 2 2
33 28 10
11 46 8
16 24 35
48 42 39
20 6 48
4 10 41
44 42 26
18 40 36
6 28 16
34 15 45
22 46 10
31 7 18
0 19 1
6 3 8
44 13 25
33 27 36
34 3 23
0 32 14
25 26 31
13 46 25
19 32 38
6 26 40
7 39 49
37 40 35
8 2 38
19 5 32
23 23 5
46 11 25
22 19 26
35 9 45
11 28 4
15 39 17
7 41 13
45 8 23
19 7 28
32 19 33
12 20 28
2 15 43
45 8 49
25 43 49
6 23 4
42 47 12
21 7 11
38 37 5
8 34 45
5 36 47
18 38 42
44 0 19
43 8 6
1 9 47
1 10 1
11 32 41
17 32 50
44 49 34
45 0 43
36 27 3
33 40 32
42 44 11
33 28 37
46 15 19
23 24 35
35 32 29
21 49 2
22 35 6
10 14 23
16 28 28
37 25 1
6 19 10
17 24 48
17 37 22
36 40 4
9 34 19
10 25 3
27 15 29
35 7 22
2 13 14
21 6 5
21 40 38
9 19 25
20 37 46
9 43 42
50 26 35
45 26 47
9 44 24
23 47 49
44 9 24
7 6 45
29 48 27
47 47 45
8 1 37
31 9 15
0 9 20
36 26 13
25 32 33
36 21 30
48 20 6
23 48 49
28 28 30
41 27 2
28 11 28
9 26 32
37 14 29
1 14 35
14 30 39
40 15 47
50 19 18
45 8 46
45 24 20
45 43 25
8 13 1
22 2 6
32 33 15
48 3 18
23 22 42
50 13 13
48 4 42
6 46 29
0 44 19
2 24 35
20 37 34
0 27 3
49 43 47
44 8 45
50 49 15
2 50 23
24 3 11
29 49 33
32 15 49
23 25 5
43 50 4
40 42 30
29 6 33
14 38 20
37 31 21
40 25 39
29 34 23
44 40 3
35 13 4
39 35 7
28 3 40
46 49 29
27 36 44
47 39 16
8 22 14
46 11 16
27 5 26
36 49 29
42 1 11
12 13 24
41 42 40
4 43 22
23 24 35
14 26 37
2 40 44
38 26 2
8 15 13
1 21 37
34 30 6
30 32 31
22 16 48
32 5 21
8 0 40
49 49 15
20 14 50
9 33 13
27 13 32
2 37 3
47 35 27
8 18 23
45 31 19
15 36 41
28 35 5
1 15 50
21 46 49
38 32 35
8 10 46
46 1 45
37 1 10
16 3 23
34 13 13
33 39 0
35 25 32
41 41 0
47 5 23
27 43 49
17 27 43
8 21 28
12 9 2
24 1 34
14 40 37
28 19 33
31 48 11
25 45 28
6 4 9
38 18 50
32 34 24
40 29 19
47 24 28
24 47 7
27 21 44
22 1 34
19 41 45
49 32 29
1 14 15
16 20 32
10 49 21
27 10 37
50 20 12
25 13 38
31 22 7
7 4 5
20 29 26
9 8 14
9 2 47
36 38 29
36 44 0
25 30 34
47 49 48
21 19 35
35 4 47
28 6 44
39 12 19
33 48 28
2 4 19
48 7 29
39 43 14
19 16 32
45 16 39
1 35 18
33 32 27
47 41 41
6 8 28
38 8 36
13 17 1
15 6 29
29 48 16
37 10 8
46 35 29
28 25 36
9 2 13
2 34 25
49 36 41
1 19 17
27 36 34
40 1 17
9 28 15
11 29 29
28 32 35
46 22 45
47 3 9
8 3 31
9 22 47
47 40 31
37 50 17
47 20 5
17 4 38
1 25 30
5 13 49
21 43 48
12 30 12
15 37 16
32 4 30
28 20 43
6 46 0
8 22 36
14 17 26
49 24 2
22 49 11
50 27 16
15 14 39
8 28 47
35 8 50
35 31 23
48 32 46
24 26 2
8 22 49
37 43 0
9 46 9
23 3 19
41 30 50
10 4 1
38 0 38
43 34 23
16 6 25
41 2 12
15 29 16
20 30 0
7 37 36
0 46 1
3 32 22
4 11 2
1 29 13
33 14 18
7 35 34
9 29 18
26 39 35
34 8 44
38 40 17
22 12 40
45 0 21
19 45 26
14 48 44
32 35 45
28 3 1
3 28 3
20 1 36
19 43 21
22 12 35
2 0 26
12 14 43
41 47 13
49 43 41
3 37 39
18 29 2
40 25 8
37 40 32
5 49 50
28 12 34
32 10 35
38 38 3
15 26 27
44 13 45
32 28 35
12 28 11
33 18 32
5 27 41
6 41 44
26 10 15
13 16 31
43 27 5
19 6 36
20 50 23
6 24 15
13 30 39
16 4 48
11 20 13
17 8 40
18 39 20
6 4 19
20 41 49
45 37 38
18 35 8
26 22 17
9 8 27
40 4 5
18 43 34
28 20 49
7 42 29
47 8 31
33 30 50
45 2 41
14 27 15
39 30 21
38 18 15
33 39 24
38 33 26
38 44 22
34 33 23
14 17 37
45 34 49
11 35 45
38 8 24
10 19 11
41 4 50
20 35 38
13 30 18
13 32 2
30 28 24
19 0 17
22 37 46
7 34 29
4 26 7
8 45 19
22 7 23
12 44 43
47 23 17
30 39 47
49 31 28
28 8 49
35 36 21
37 16 13
10 13 41
39 15 42
47 27 35
22 5 25
36 39 39
33 45 30
22 0 47
2 10 27
25 34 26
40 41 3
4 31 20
11 23 16
31 1 40
38 27 21
29 30 17
42 44 22
20 23 4
35 8 13
44 32 6
43 18 17
38 23 46
6 50 30
37 39 11
29 41 40
8 1 17
3 27 9
26 27 22
30 6 31
21 42 7
48 48 41
32 11 23
23 26 15
34 47 42
19 7 21
22 16 36
18 20 22
32 18 13
35 47 8
48 6 42
17 15 1
10 12 49
45 24 20
1 7 44
5 38 15
43 27 4
39 9 25
31 37 43
43 23 45
33 41 20
29 8 43
42 32 45
9 38 16
27 38 10
