100 40
5 5 7
17 3 5
7 7 8
10 20 6
7 2 0
14 6 14
18 14 1
3 0 11
15 9 0
18 7 19
10 10 11
6 8 4
5 11 11
7 4 20
5 5 19
10 15 5
2 18 12
17 9 4
19 9 20
1 8 19
7 0 10
11 11 10
20 13 4
1 20 20
16 5 18
17 4 12
6 9 1
12 13 15
0 2 0
11 11 16
5 18 5
13 2 7
15 16 11
20 19 3
11 14 9
0 7 15
13 17 19
5 0 20
2 20 11
12 1 11
20 1 15
14 2 19
0 4 4
6 16 8
16 6 20
3 17 13
16 3 8
8 4 13
13 0 11
6 20 17
9 14 20
14 11 19
10 4 0
4 2 13
15 12 14
1 4 8
8 2 19
4 2 9
6 3 15
3 20 3
0 19 1
2 12 19
7 7 0
7 6 0
17 14 8
19 19 17
7 16 0
11 7 16
0 20 15
5 0 14
1 19 16
8 12 0
1 14 17
2 0 11
6 12 19
20 15 18
0 16 10
4 11 12
10 16 7
1 2 13
10 6 10
0 16 16
17 18 2
13 2 3
15 5 11
1 9 6
2 6 16
12 18 18
12 1 10
2 7 16
18 5 13
6 19 12
13 6 13
13 8 8
16 14 20
0 16 15
17 6 19
0 3 2
11 16 4
6 18 16
