60 20
15 10 16
14 3 18
18 17 3
10 3 16
16 9 17
2 10 0
12 12 9
17 0 11
16 2 16
11 12 4
8 1 6
5 14 2
9 9 18
13 3 8
17 1 5
16 0 3
7 1 10
9 3 6
12 18 16
13 12 2
5 16 13
14 5 2
7 9 18
15 6 5
4 1 6
8 9 15
11 11 12
18 14 10
10 12 15
0 3 9
7 0 14
2 5 2
9 13 16
5 10 4
14 1 5
9 2 7
12 6 6
16 0 9
15 3 14
9 8 1
4 14 3
10 9 4
2 5 11
3 3 1
15 0 15
12 13 8
0 14 18
15 6 9
1 2 13
14 13 15
12 0 15
0 9 8
18 8 4
16 0 2
0 6 5
17 0 11
3 10 1
18 18 0
12 4 9
2 8 11
